ID,ParentID,Name,Title,Department
A,,HỆ THỐNG QUẢN LÝ CÔNG VIỆC,Dự án SprintA,Root
B,A,Quản lý Tài khoản & Xác thực,Module 1,Auth
B1,B,Đăng ký tài khoản,Chức năng 1.1,Auth
B2,B,Đăng nhập / Đăng xuất,Chức năng 1.2,Auth
B3,B,Quản lý hồ sơ cá nhân,Chức năng 1.3,Auth
B4,B,Quản lý token & phiên,Chức năng 1.4,Auth
B5,B,Đăng nhập OAuth (GitHub),Chức năng 1.5,Auth
C,A,Quản lý Workspace & Dự án,Module 2,Core
C1,C,Tạo / Sửa / Xóa Workspace,Chức năng 2.1,Core
C2,C,Quản lý thành viên Workspace,Chức năng 2.2,Core
C3,C,Tạo / Sửa / Xóa Project,Chức năng 2.3,Core
C4,C,Cài đặt Project,Chức năng 2.4,Core
C5,C,Quản lý thành viên Project,Chức năng 2.5,Core
C6,C,Mời thành viên (Invite),Chức năng 2.6,Core
D,A,Quản lý Công việc (Work Items),Module 3,Agile
D1,D,Tạo / Sửa / Xóa Task,Chức năng 3.1,Agile
D2,D,Quản lý trạng thái (Status),Chức năng 3.2,Agile
D3,D,Quản lý mức ưu tiên (Priority),Chức năng 3.3,Agile
D4,D,Gán thành viên (Assignees),Chức năng 3.4,Agile
D5,D,Quản lý nhãn (Labels),Chức năng 3.5,Agile
D6,D,Quản lý ngày (Start/Due Date),Chức năng 3.6,Agile
D7,D,Quản lý mô tả (Rich Editor),Chức năng 3.7,Agile
D8,D,Tạo Sub-task / Parent task,Chức năng 3.8,Agile
D9,D,Đính kèm tệp (Attachments),Chức năng 3.9,Agile
D10,D,Quản lý phụ thuộc (Dependencies),Chức năng 3.10,Agile
D11,D,Xem Kanban Board,Chức năng 3.11,Agile
D12,D,Xem List View,Chức năng 3.12,Agile
D13,D,Xem Calendar View,Chức năng 3.13,Agile
D14,D,Xem Spreadsheet View,Chức năng 3.14,Agile
D15,D,Xem Timeline View,Chức năng 3.15,Agile
D16,D,Kéo thả (Drag & Drop),Chức năng 3.16,Agile
D17,D,Lọc / Sắp xếp / Tìm kiếm,Chức năng 3.17,Agile
D18,D,Quản lý Draft (Bản nháp),Chức năng 3.18,Agile
E,A,Quản lý Agile (Cycles/Sprints),Module 4,Agile
E1,E,Tạo / Sửa / Xóa Cycle,Chức năng 4.1,Agile
E2,E,Gán Task vào Cycle,Chức năng 4.2,Agile
E3,E,Xem danh sách Task,Chức năng 4.3,Agile
E4,E,Burndown Chart,Chức năng 4.4,Agile
E5,E,Quản lý Sprint Backlog,Chức năng 4.5,Agile
F,A,Quản lý Module,Module 5,Planning
F1,F,Tạo / Sửa / Xóa Module,Chức năng 5.1,Planning
F2,F,Gán Task vào Module,Chức năng 5.2,Planning
F3,F,Xem tiến độ Module,Chức năng 5.3,Planning
G,A,Tương tác & Cộng tác,Module 6,Collab
G1,G,Bình luận (Comments),Chức năng 6.1,Collab
G2,G,Emoji Reactions,Chức năng 6.2,Collab
G3,G,Thông báo (Notifications),Chức năng 6.3,Collab
G4,G,Nhật ký hoạt động (Audit log),Chức năng 6.4,Collab
G5,G,Ghi chú (Sticky Notes),Chức năng 6.5,Collab
G6,G,Trang tài liệu (Pages/Wiki),Chức năng 6.6,Collab
G7,G,Real-time Updates (SignalR),Chức năng 6.7,Collab
H,A,Báo cáo & Phân tích,Module 7,Reporting
H1,H,Phân tích dự án,Chức năng 7.1,Reporting
H2,H,Phân tích toàn cục,Chức năng 7.2,Reporting
H3,H,Custom Views & Lưu bộ lọc,Chức năng 7.3,Reporting
I,A,Quản trị Hệ thống (Admin),Module 8,Admin
I1,I,Quản lý người dùng hệ thống,Chức năng 8.1,Admin
I2,I,Quản lý phòng ban (Departments),Chức năng 8.2,Admin
I3,I,Quản lý vai trò & quyền (RBAC),Chức năng 8.3,Admin
I4,I,Cài đặt hệ thống,Chức năng 8.4,Admin
I5,I,Gamification (Ví điểm),Chức năng 8.5,Admin
J,A,Tích hợp AI,Module 9,AI
J1,J,AI chia nhỏ công việc (Subtasks),Chức năng 9.1,AI
J2,J,AI đề xuất gợi ý,Chức năng 9.2,AI
J3,J,Quản lý Prompt Templates,Chức năng 9.3,AI
